"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","69.63","67.82","73.58","79.66","80.83","77.23","78.73","78.60","75.58","75.54","74.39","76.08","75.22","81.90","84.74","89.60","85.19","84.25","82.84","81.58","72.97","69.97","67.67","69.81","72.08","76.61","82.51","74.56","76.00","71.69","66.34","69.10","66.43","66.99","64.52","68.45","74.73","76.86","76.13","76.94","79.90","57.56","29.84","24.39","48.48","56.20","73.29","51.78","72.54","69.22","74.76","74.65","70.57","64.24","63.88","61.61","71.11","70.40","70.93","73.70","72.14","76.21","71.95","68.21","69.92","72.94","75.57","56.84","51.34","48.10","48.75","51.35","48.53","51.60","53.61","53.29","58.10","58.45","60.86","60.63","54.33","56.12","46.53","41.95","43.44","48.59","53.21","59.12","57.05","56.01","58.68","56.27","53.15","44.82","43.25","41.76","40.76","45.95","51.80","59.23","56.83","51.85","63.80","61.46","58.15","51.20","45.22","42.48","45.22","51.21","63.31","56.23","65.74","63.55","65.05","61.17","58.57","58.64","54.72","51.15","52.91","55.71","65.28","67.78","72.47","68.47","70.11","73.38","70.09","72.31","72.90","69.35","60.96","70.29","81.23","75.66","81.63","82.43","82.99","85.53","83.48","86.72","86.23","83.97","92.88","95.79","94.26","90.75","91.88","96.13","88.33","96.40","92.72","83.78","88.19","86.96","84.60","88.55","88.62","86.49","85.93","89.53","87.27","95.12","93.60","89.19","92.82","91.64","102.65","108.11","113.24","116.47","118.30","124.19","128.33","138.32","137.19","138.80","140.37","147.93","149.11","156.95","159.98","162.57","162.52","163.23","151.80","157.39","149.30","138.63","132.80","127.15","135.68","132.70","128.92","123.64","120.36","119.26","112.85","117.95","109.65","106.68","109.33","117.38","115.30","113.25","124.06","133.09","137.42","127.61","117.66","114.52","108.07","109.05","110.76","117.09","109.53","113.59","115.35","115.07","114.64","109.89","119.32","111.13","108.73","109.11","106.34","111.43","111.48","104.25","109.91","116.57","113.77","109.27","116.37","112.79","107.05","106.33","103.93","109.26","110.97","105.88","104.84","97.60","99.76","106.74","108.71","109.46","104.67","103.77","100.94","112.43","106.86","111.42","110.44","119.72","127.73","125.54","119.69","118.69","124.61","119.38","121.51","128.52","118.22","120.02","131.43","132.48","137.12","141.35","143.98","146.93","146.08","143.57","141.79","139.53","138.67","143.15","157.50","174.99","184.03","194.08","196.83","197.96","194.04","191.98","190.43","175.67","174.68","178.82","193.65","207.85","216.88","223.01","226.38","223.61","213.83","208.65","209.88","211.76","225.18","227.86","232.41","244.04","257.08","260.93","265.33","269.82","278.77","264.40","256.98","255.70","262.13"
,"Hogs 6","65.65","73.93","72.08","82.14","82.82","82.33","82.24","75.08","72.28","74.09","64.04","67.95","60.03","65.89","79.17","82.21","86.98","89.77","88.66","87.50","78.60","70.35","59.80","57.40","67.30","70.18","63.45","54.33","57.21","60.57","67.78","60.57","43.28","54.81","46.16","51.45","54.81","57.21","56.73","55.29","65.85","69.22","65.85","62.97","58.17","53.85","47.60","48.08","50.69","62.22","66.06","65.10","82.87","82.39","81.43","79.99","75.18","72.30","68.94","67.98","67.71","65.26","65.26","67.22","73.61","64.27","67.71","69.68","66.24","62.31","57.39","56.41","52.03","54.51","54.41","52.03","60.47","68.41","64.44","66.92","61.46","58.48","56.00","56.50","55.39","62.31","58.36","60.83","66.77","65.78","61.33","63.80","54.40","45.98","38.56","43.01","40.22","47.15","34.28","50.62","66.45","62.49","63.48","75.51","63.79","62.43","54.50","54.03","59.68","59.38","61.24","59.73","56.31","53.94","53.81","42.59","44.73","43.75","46.45","53.80","57.85","58.26","60.32","66.87","73.60","67.75","68.37","71.91","55.80","57.62","51.17","57.23","61.39","68.41","68.62","74.08","74.96","78.21","77.78","86.00","74.32","79.85","73.34","71.38","72.23","73.27","71.95","68.39","68.30","82.30","83.85","75.46","57.98","67.09","66.22","68.07","70.77","72.23","64.74","68.90","77.03","86.28","89.30","86.69","82.04","78.95","72.97","70.60","72.32","79.62","107.92","116.28","105.35","108.58","120.40","106.67","94.91","101.20","84.52","81.24","74.09","66.02","65.97","63.19","79.60","83.28","83.77","85.50","79.21","79.81","63.63","58.47","66.25","75.49","72.07","71.88","83.36","88.98","83.56","72.01","63.06","52.94","48.29","58.20","69.82","81.89","80.31","70.60","81.61","95.21","98.78","88.94","65.84","65.01","70.79","67.58","74.16","77.74","70.16","60.94","72.02","88.26","88.00","62.54","58.29","73.46","67.36","60.93","68.91","67.83","69.45","92.45","97.69","93.70","84.21","94.33","75.88","74.63","74.33","72.71","70.92","71.22","74.12","69.15","81.46","68.06","60.37","65.11","73.58","89.01","83.29","74.18","74.03","82.77","98.40","110.85","113.70","120.64","118.56","117.15","105.60","95.41","84.92","82.30","85.49","99.82","110.25","110.79","113.37","118.78","126.43","132.47","116.46","112.94","106.32","99.35","94.37","93.86","99.09","92.85","95.49","103.13","117.65","121.37","106.32","100.59","94.89","85.76","84.30","91.52","99.49","107.71","110.86","110.95","109.06","111.77","103.36","102.77","108.88","106.39","104.97","110.38","113.40","108.39","111.03","121.57","128.35","130.79","126.68","121.09","110.89","102.29","100.90"
"Alberta",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","89.61","89.33","94.58","97.00","99.84","98.69","95.41","93.88","85.27","93.05","95.27","98.99","89.72","90.72","93.28","96.28","91.72","75.68","98.97","105.85","121.72","125.09","130.32","129.77","139.78","135.65","127.68","129.10","141.44","147.83","163.55","142.87","149.57","150.91","153.90","168.89","169.76","167.24","167.15","160.19","158.28","153.11","129.97","128.11","135.49","137.41","134.55","131.75","126.93","129.30","130.83","134.24","140.60","143.23","143.44","131.86","112.06","111.28","98.11","94.77","85.65","83.93","82.39","83.46","80.04","85.52","83.85","83.54","81.69","81.58","82.71","84.21","86.32","86.87","85.78","88.33","89.58","94.41","97.45","94.96","100.09","122.48","130.48","137.83","141.12","147.32","154.56","156.18","159.49","160.08","160.12","157.13","172.05","181.84","167.56","178.66","189.60","206.03","236.86","252.09","288.49","283.80","298.28","242.49","188.56","186.22","178.79","177.53","194.07","172.82","177.90","175.51","173.05","180.48","184.32","174.09","168.77","158.80","163.81","163.14","154.52","152.10","150.06","151.45","146.20","147.55","149.26","151.79","153.85","154.85","155.14","161.39","166.53","170.09","178.04","187.53","192.85","193.86","198.98","191.22","194.66","198.71","198.80","201.60","194.62","194.34","194.82","202.09","208.34","207.88","206.11","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","86.02","85.48","92.72","88.98","87.69","79.82","84.63","79.44","83.47","85.78","86.43","92.86","98.66","98.83","96.75","97.09","103.49","103.04","111.46","117.53","135.13","152.83","153.21","165.80","176.23","191.72","199.22","202.16","211.48","218.74","195.03","206.68","166.23","193.86","194.16","232.98","236.51","253.94","244.68","221.12","201.15","214.70","190.00","175.00","170.00","160.00","150.00","130.00","109.92","116.15","114.42","113.78","113.51","114.19","113.46","108.18","111.76","110.78","118.01","115.03","114.99","118.47","115.42","113.84","113.09","111.90","111.89","106.78","111.44","109.52","105.02","113.78","119.30","117.81","114.84","112.88","103.44","112.90","111.35","108.73","109.94","113.48","129.21","142.26","149.01","152.56","163.45","165.32","165.29","167.44","170.40","163.94","147.06","143.79","143.94","154.86","161.83","171.29","172.09","170.31","177.41","189.78","192.55","197.69","202.61","198.42","206.57","179.34","171.94","168.08","172.20","172.67","170.28","174.79","173.39","171.11","150.48","159.30","175.71","150.27","156.19","153.72","149.18","144.91","132.42","138.57","146.30","147.11","153.35","155.69","172.38","180.36","192.23","202.12","208.43","200.23","212.83","210.43","212.11","204.99","195.84","194.55","197.48","194.12","190.65","192.61","192.18","203.91","184.10","194.91","198.89","186.15","212.15","..","..","..","230.10","238.10","237.43","233.11","221.81","216.95","220.72","209.80","210.10","205.68","194.32","190.60","186.85","180.69","176.99","161.72","164.57","160.43","160.89","160.31","168.67","170.57","..","179.77","190.26","187.36","..","..","..","..","201.40","..","..","..","..","..","..","..","..","..","..","..","189.10","180.79","178.70","180.02","188.36","188.83","..","..","..","196.64","201.08","194.21","192.74","197.93","181.30","..","184.03","..","210.48","192.08","194.79","203.76","192.33","..","191.46","184.36","..","..","204.37","201.68","..","213.54","..","..","..","230.05","233.71","235.60","218.75","203.76","208.72","201.76","204.31","212.73","209.15","218.71","224.98","232.29","239.31","243.56","209.76","204.40","204.69","208.67","224.45","238.78","254.28","260.26","255.23","260.44","259.98","286.12","265.84","270.52","303.74","317.92","462.26","460.45","551.02","489.59","558.82","534.69","486.21","397.41","364.12","366.92","353.33","347.47","333.87","328.29","316.66","287.55","274.96","267.81","277.31","291.48","321.44","317.85","326.83","322.73","324.33","320.58","317.45","319.92","324.72","315.13","307.00","311.31","298.44","286.29","287.46","290.29","296.00","310.48","304.73","290.48","292.27","298.17","318.75","311.28","272.85","289.01","266.54","288.04","272.77"
,"Barley 3 4","87.82","81.36","84.21","84.77","81.02","80.84","84.87","88.69","85.98","93.25","104.15","110.34","112.06","105.41","112.18","111.05","117.92","119.22","133.91","129.55","130.44","133.99","132.17","139.14","154.10","141.43","137.59","127.47","145.01","144.40","163.78","171.14","163.70","168.10","170.77","162.89","176.68","160.78","154.83","152.49","146.43","135.66","117.06","112.65","109.34","107.39","111.94","114.56","121.21","113.34","117.05","125.29","129.38","131.42","124.02","109.15","100.24","93.75","98.97","95.68","93.67","91.33","91.39","92.53","94.18","93.65","92.50","91.14","88.49","90.64","90.43","91.50","95.40","94.10","93.34","92.26","96.45","92.06","92.27","91.20","100.30","119.57","123.95","130.78","134.49","142.69","144.85","147.16","154.36","160.78","163.41","159.69","164.01","164.56","169.02","178.88","188.87","192.65","195.07","202.60","211.63","213.03","217.41","205.40","189.17","191.26","193.32","191.25","191.10","184.73","166.81","150.51","144.52","146.42","149.02","136.98","140.26","138.44","142.72","141.68","145.25","137.08","132.13","131.17","129.82","127.15","131.38","134.14","137.71","141.03","150.02","159.95","163.16","161.47","170.86","174.70","177.07","179.00","176.98","168.27","170.37","177.59","184.95","190.59","187.31","188.33","191.24","202.02","208.98","217.02","222.58","221.43","213.58","225.93","243.53","248.87","256.50","286.63","271.09","267.33","272.12","303.89","245.32","209.67","199.46","188.32","188.22","180.36","172.89","169.18","163.48","182.40","179.91","167.72","164.90","166.57","152.81","166.49","185.77","210.37","201.33","188.04","209.58","193.98","195.40","199.17","219.49","227.75","247.58","245.86","245.65","251.72","246.94","245.15","221.05","228.13","228.11","198.82","214.28","193.35","210.31","184.58","207.94","212.80","202.05","217.95","207.85","167.36","172.49","174.00","179.05","193.59","216.80","202.00","195.35","198.41","210.51","213.76","206.72","214.17","217.19","218.44","224.15","227.76","204.00","204.63","208.83","210.18","225.25","237.34","233.25","228.88","245.98","240.87","242.81","226.44","216.50","205.69","208.43","212.57","206.90","219.59","209.14","219.81","217.15","214.44","216.24","216.06","204.14","210.74","220.44","228.41","241.25","245.65","258.10","266.68","283.40","282.86","294.11","305.92","272.79","282.72","298.32","323.55","350.58","374.25","384.46","385.09","405.71","411.08","403.57","348.77","342.95","371.41","386.64","397.15","404.37","395.51","393.11","394.68","399.42","399.54","397.43","371.66","320.94","327.27","332.90","317.83","299.59","282.00","270.41","272.97","279.14","283.12","279.47","258.31","233.46","247.01","248.35","252.96","269.58","275.15","271.96","273.93","266.60","269.46","278.21","250.53","240.70","245.32","249.97","249.39","251.81"
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Canola (including rapeseed)","242.78","235.46","238.30","243.87","236.30","226.69","229.00","228.24","230.95","223.74","232.67","236.32","231.94","236.61","255.97","266.29","267.77","278.00","314.80","312.33","297.61","298.79","311.30","317.46","320.81","319.08","326.87","311.25","323.87","342.32","385.66","372.60","382.98","390.00","372.22","375.27","371.86","372.41","375.88","356.11","352.81","339.78","330.11","317.23","331.09","342.82","350.78","353.59","354.13","366.63","381.41","384.46","385.16","390.58","383.87","363.74","342.01","329.68","308.40","306.45","275.05","263.04","272.20","282.57","284.70","292.31","299.14","277.93","254.92","246.94","245.04","239.46","236.74","243.06","240.98","247.79","262.41","267.10","272.82","275.15","271.41","291.09","315.46","338.01","339.07","350.14","352.98","353.98","362.58","370.80","376.83","382.62","388.44","384.99","395.84","412.40","431.85","471.02","491.77","513.25","527.23","563.90","552.52","526.54","477.93","444.97","462.53","450.05","443.90","446.33","440.20","439.17","448.05","456.49","459.60","458.12","430.03","416.13","411.57","405.61","404.80","389.04","390.50","386.13","387.46","392.05","421.50","438.95","437.37","444.77","436.33","474.67","510.93","505.40","526.79","540.09","549.74","560.38","559.93","555.07","524.18","509.26","510.34","510.34","516.63","524.54","540.98","562.95","..","586.22","595.83","593.43","569.33","563.94","569.65","578.71","600.30","611.97","618.98","630.18","640.65","638.68","614.50","541.88","507.75","501.61","502.70","486.18","470.29","449.82","436.88","439.38","451.69","442.32","447.99","448.09","429.21","421.65","432.21","433.47","440.05","438.52","431.71","449.32","446.53","458.39","475.11","478.56","463.93","492.46","461.75","465.03","467.83","466.85","467.36","473.81","483.99","488.91","483.55","464.91","457.43","462.59","471.10","479.00","482.78","492.53","499.75","506.72","511.83","514.05","517.73","511.60","476.67","481.86","485.43","491.14","493.80","490.42","496.66","507.28","516.82","520.12","516.65","508.03","484.82","477.07","472.02","473.39","466.19","469.01","470.83","462.92","443.75","438.61","428.75","416.44","422.40","433.48","434.03","435.17","442.73","447.29","442.80","443.58","448.65","446.12","459.16","461.50","468.23","472.93","490.48","509.04","531.03","557.13","593.42","647.22","673.39","714.87","771.70","746.50","661.62","693.35","730.68","797.78","850.49","882.03","978.34","1,046.78","1,043.08","1,077.97","1,011.26","951.86","839.16","851.26","876.89","879.66","871.27","848.48","821.90","803.30","774.09","740.16","772.94","774.83","751.05","727.24","706.58","699.45","655.33","612.17","602.72","649.30","643.78","647.82","644.66","608.88","594.74","599.32","609.04","605.84","608.55","617.42","623.46","630.17","652.14","672.24","682.65","676.39","621.92","609.13","614.77","614.73","605.98"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","89.74","87.87","93.27","95.25","92.67","89.10","86.41","88.57","85.63","89.03","93.99","100.92","99.67","106.17","110.73","106.07","100.18","95.57","94.20","93.69","89.94","89.25","89.18","90.75","97.52","99.83","103.70","92.83","89.40","85.60","84.50","87.36","89.01","90.24","92.92","96.66","106.09","107.39","104.01","102.26","101.54","61.81","35.57","38.19","70.33","72.84","73.48","74.14","76.32","73.11","78.73","77.63","74.98","65.93","64.60","61.21","71.53","72.60","71.52","76.51","82.31","86.78","81.30","78.10","73.52","73.58","78.94","80.13","79.51","79.96","82.20","86.07","83.60","78.41","78.80","77.09","78.26","79.73","79.35","78.12","76.96","76.11","72.43","72.96","74.47","77.90","84.78","90.51","88.89","79.65","76.89","78.17","75.11","69.38","66.92","71.02","67.39","70.75","74.29","79.93","82.53","82.15","87.57","87.42","83.46","81.85","80.15","74.85","75.90","77.76","86.31","91.04","82.87","78.40","77.20","74.35","72.90","68.69","65.15","65.47","68.55","71.51","80.37","85.70","85.03","80.31","82.56","83.78","82.25","84.41","82.32","83.94","90.37","95.97","101.58","103.51","96.08","93.29","94.62","97.75","95.24","99.58","98.87","100.74","104.47","104.41","107.14","103.96","106.40","106.72","103.80","105.90","102.60","100.65","102.70","103.09","102.33","103.70","105.92","107.10","111.28","112.30","110.89","111.87","110.40","109.49","108.30","110.29","122.73","124.47","132.66","138.97","142.07","145.91","155.46","155.98","155.73","159.70","158.17","167.43","173.17","178.09","184.81","191.56","193.01","190.35","178.62","176.47","167.52","160.11","150.87","145.77","160.80","153.48","154.19","152.91","150.45","142.84","139.72","135.77","125.15","125.02","127.10","137.01","144.72","143.68","156.23","162.01","168.60","153.27","138.46","135.08","127.72","130.16","136.54","141.83","148.52","150.18","149.23","147.12","144.44","137.81","145.09","136.30","137.10","139.97","133.44","138.13","142.23","134.85","144.37","149.02","144.61","137.40","137.89","136.61","131.28","134.34","133.59","142.13","148.43","137.09","137.34","124.27","120.58","130.84","128.10","131.65","128.42","127.97","125.59","130.15","137.77","140.82","139.97","147.16","153.96","154.13","145.02","143.66","148.18","145.37","143.53","150.67","146.18","147.74","152.91","156.75","162.99","164.12","166.17","170.78","172.31","170.07","164.91","163.61","169.33","177.71","194.13","210.51","223.32","233.62","227.14","221.04","219.33","216.19","209.67","203.72","202.48","210.32","223.11","242.09","250.96","254.10","248.94","244.41","235.98","233.36","234.49","239.35","253.56","261.71","262.82","277.01","290.18","292.91","290.15","295.99","304.65","292.66","281.72","282.33","290.33"
,"Hogs 6","68.16","75.79","71.65","82.95","84.46","82.99","81.99","75.56","71.63","73.10","64.22","69.65","63.08","73.66","84.33","86.75","92.20","95.19","93.19","91.22","82.35","72.46","62.59","60.13","72.45","73.44","67.03","59.12","61.08","65.55","72.93","58.13","46.79","55.66","51.71","55.67","59.12","60.60","60.62","59.12","69.49","70.00","70.48","65.54","65.06","58.63","54.19","53.70","53.51","68.34","73.29","74.28","94.05","91.09","89.11","85.65","82.68","75.76","77.24","75.26","76.50","74.03","73.04","74.52","80.95","71.56","70.57","71.56","67.11","65.13","59.69","59.20","55.27","56.76","57.26","54.77","63.25","72.73","67.74","68.74","64.25","61.26","59.76","58.76","59.50","65.49","61.50","62.50","67.49","65.99","62.50","63.00","55.51","47.53","47.03","46.03","44.57","50.56","47.06","53.55","66.52","64.03","65.52","75.50","65.52","65.52","57.04","58.54","60.53","63.03","63.53","62.03","59.04","56.04","57.04","47.06","47.56","47.06","50.06","55.54","60.04","60.04","62.03","65.52","74.51","69.02","69.02","72.01","71.51","62.53","55.05","59.54","63.03","70.01","70.01","74.51","75.50","77.50","78.50","85.98","76.00","81.99","75.00","73.01","73.51","75.00","74.01","70.01","70.51","84.98","85.48","76.50","59.04","69.52","68.02","70.01","72.51","73.51","66.52","70.51","79.00","88.48","90.47","86.48","83.99","80.99","74.51","73.01","75.00","83.99","110.93","116.92","105.94","109.93","121.41","103.94","96.96","100.95","85.98","82.49","76.00","67.52","68.52","66.02","83.99","85.48","85.48","87.98","81.49","81.49","64.03","61.53","67.27","76.75","74.26","73.26","84.24","89.73","86.73","73.76","65.28","55.80","51.80","61.78","69.94","81.92","80.42","71.44","82.91","96.39","98.88","86.91","64.45","64.95","70.94","67.95","74.65","77.15","70.16","61.18","73.16","90.12","89.12","61.18","60.19","73.16","65.67","62.68","65.34","62.32","67.86","93.03","97.56","92.02","84.97","90.51","68.86","71.38","69.37","68.36","68.54","66.02","70.05","65.01","82.13","61.99","54.94","61.99","74.58","90.19","81.63","72.06","70.67","79.73","97.86","113.47","117.49","125.55","122.03","121.52","107.42","96.85","83.76","79.38","82.51","98.12","112.22","111.21","113.73","121.28","129.34","134.87","114.23","112.22","105.17","96.10","90.87","87.85","95.40","86.34","91.37","102.45","117.05","120.58","103.96","99.43","91.37","80.80","80.30","90.37","98.42","107.49","111.01","110.51","109.00","110.00","102.45","104.97","111.51","106.48","104.47","111.01","117.05","111.01","113.53","125.11","134.17","135.68","131.65","125.61","114.54","107.99","107.24"
"British Columbia",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
